Group,Name,Category,Description,ID Tag,Price,Weight,Width,Length,Height,Last inventory date,Expiry Date,Purchase date,Quantity unit,Stock Shortage,Default quantity,Storage 1,Quantity 1,Storage 2,Quantity 2,Storage 3,Quantity 3,Storage 4,Quantity 4,Storage 5,Quantity 5,Supplier 1,Supplier 1 price,Supplier 2,Supplier 2 price,Supplier 3,Supplier 3 price,Supplier 4,Supplier 4 price,Supplier 5,Supplier 5 price,Group property 1,Group property 2,Group property 3,Group property 4,Group property 5,Group property 6,Group property 7,Group property 8,Group property 9,Group property 10,Optimal Quantity,Category (full path),
Sample Group,1-439-172,FLYBACK,,,36,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,1-439-235,FLYBACK,,,,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,1-439-235-11,FLYBACK,,,25,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,1-439-238-00,FLYBACK,,,36,,,,,,,,,1,2,A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,1-439-423-21,FLYBACK,,,28,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,10N60,INTEGRADO,=5N60,,6,,,,,,,,,1,0,B2A5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,10N80,INTEGRADO,,,6,,,,,,,,,1,3,B2A5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,11N60,INTEGRADO,,,6,,,,,,,,,1,0,B2A7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,124 121 821,TRANSISTOR,,20160229,,,,,,,,,,1,1,A2B24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,12N50,INTEGRADO,,,10,,,,,,,,,1,0,B2A7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,12N60C,INTEGRADO,,,12,,,,,,,,,1,2,B2A7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,12N60FI,INTEGRADO,,,12,,,,,,,,,1,1,B2A7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,13NK80Z,INTEGRADO,=11N80,,14,,,,,,,,,1,10,B2A7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,15 Foot USB2 - A/B cable,USB cables,"A-male to B-male, USB 2.0 Certified, Backwards compatible USB 1 devices, Common for use with printers, external hard drives, scanners, CD burners, DVD burners",9780321774088,8.99,0.091,,4.572,,20260122,,,,10,0,shelf 1A,17,,,,,,,,,Dell Computers,8.75,,,,,,,,,,,,,,,,,,,,Computer Stuff/cables/USB cables,
Sample Group,154-040,FLYBACK,,,,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,154-168D,FLYBACK,,,,,,,,,,,,1,2,A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,154-375D,FLYBACK,,,28,,,,,,,,,1,4,A1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,154-380,FLYBACK,,,35,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,17N80C3,INTEGRADO,,,16,,,,,,,,,1,1,B2A8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,1L0380R,INTEGRADO,,,8,,,,,,,,,1,5,B2A1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,20N60,INTEGRADO,,,12,,,,,,,,,1,3,B2A8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,20N60S5,INTEGRADO,,,23,,,,,,,,,1,1,B2A8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,23N150,INTEGRADO,,,14,,,,,,,,,1,2,B2A9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C01A,INTEGRADO,,,2,,,,,,,,,1,10,B3A9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C02WP,INTEGRADO,,,2,,,,,,,,,1,20,B3A9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C04W6,INTEGRADO,,,2,,,,,,,,,1,2,B3A9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C08A,INTEGRADO,,,2,,,,,,,,,1,2,B3A9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C16WP,INTEGRADO,,,2,,,,,,,,,1,21,B3A10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,24C32A,TRANSISTOR,,20160229,3,,,,,,,,,1,1,B3A10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,2B0565,INTEGRADO,,,10,,,,,,,,,1,11,B2A1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N2222,INTEGRADO,,,1,,,,,,,,,1,33,B3D7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N3055,INTEGRADO,,,,,,,,,,,,1,12,A2B30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N3823,INTEGRADO,,,2,,,,,,,,,1,3,B3D7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N3904,INTEGRADO,ECG123AP,,1,,,,,,,,,1,24,B3D7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N3906,INTEGRADO,,,1,,,,,,,,,1,101,B3D7,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N4352,INTEGRADO,,,2,,,,,,,,,1,12,B3D7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N5064,INTEGRADO,,,1,,,,,,,,,1,17,B3D8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N5401,INTEGRADO,,,1,,,,,,,,,1,20,B3D8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N5551,INTEGRADO,,,1,,,,,,,,,1,68,B3D8,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N5668,INTEGRADO,,,1,,,,,,,,,1,7,B3D8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2N60B,INTEGRADO,,,8,,,,,,,,,1,0,B2A1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2P4M,INTEGRADO,,,5,,,,,,,,,1,2,B2A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2QS03,INTEGRADO,,,16,,,,,,,,,1,2,B2A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2S0680,INTEGRADO,,,12,,,,,,,,,1,1,B2A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2S0880,INTEGRADO,,,12,,,,,,,,,1,1,B2A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SA1302,INTEGRADO,,,6,,,,,,,,,1,13,B1D9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SA1494,INTEGRADO,ECG59,,18,,,,,,,,,1,3,B1D9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SA1943,INTEGRADO,ECG2329,,9,,,,,,,,,1,4,B1D8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SA350,INTEGRADO,,,1,,,,,,,,,1,6,B1D8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SK1081,INTEGRADO,,,15,,,,,,,,,1,3,B2A1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,2SK727,INTEGRADO,,,6,,,,,,,,,1,5,B1B12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,30F125,INTEGRADO,,,13,,,,,,,,,1,3,B2A9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,30F126,INTEGRADO,,,13,,,,,,,,,1,0,B2A9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,30J124,INTEGRADO,,,13,,,,,,,,,1,2,B2A9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3B0365,INTEGRADO,,,10,,,,,,,,,1,2,B2A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3BR1765,INTEGRADO,,,18,,,,,,,,,1,2,B2A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3BR4765J,INTEGRADO,,,16,,,,,,,,,1,2,B2A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3DD5011,INTEGRADO,,,15,,,,,,,,,1,0,B2B1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3S0680RF,INTEGRADO,,,15,,,,,,,,,1,2,B2A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,3S0765RF,INTEGRADO,,,15,,,,,,,,,1,3,B2A2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,40CPQ040,INTEGRADO,,,10,,,,,,,,,1,5,B2A9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,47434N-3119,INTEGRADO,,,25,,,,,,,,,1,1,A2B4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,47N60C3,INTEGRADO,,,16,,,,,,,,,1,2,B2A9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,4N33,INTEGRADO,,,4,,,,,,,,,1,12,B2A2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,4N35,INTEGRADO,,,6,,,,,,,,,1,3,B2A2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,4N60,INTEGRADO,,,6,,,,,,,,,1,4,B2A2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,50N06,INTEGRADO,,,5,,,,,,,,,1,1,B2A11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,598-834-00,FLYBACK,,,55,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,5D4841,INTEGRADO,,,20,,,,,,,,,1,0,B2A3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5L038D,INTEGRADO,,,8,,,,,,,,,1,0,B2A3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5M02659,INTEGRADO,,,11,,,,,,,,,1,0,B2A3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5M02659R,INTEGRADO,,,8,,,,,,,,,1,14,B2A3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5M0265R,INTEGRADO,,,12,,,,,,,,,1,7,B2A3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5M026S9R,INTEGRADO,,,,,,,,,,,,1,1,A2B15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5M0365R,INTEGRADO,,,10,,,,,,,,,1,2,B2A3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5N50,INTEGRADO,,,6,,,,,,,,,1,26,B2A3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5NK80,INTEGRADO,,,12,,,,,,,,,1,0,B2A4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5Q0765RT,INTEGRADO,,,10,,,,,,,,,1,1,B2A4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5Q1265RF,INTEGRADO,,,16,,,,,,,,,1,3,B2A4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,5Q1265RT,INTEGRADO,,,15,,,,,,,,,1,3,B2A4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,60N60,INTEGRADO,,,24,,,,,,,,,1,2,B2A11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,612029-1,INTEGRADO,,,10,,,,,,,,,1,8,A2B4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,6174Z-1003D,FLYBACK,,,35,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-1036A,FLYBACK,,,32,,,,,,,,,1,2,A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-2001A,FLYBACK,,,38,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-2001C,FLYBACK,,,35,,,,,,,,,1,1,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-2001D,FLYBACK,,,35,,,,,,,,,1,2,A1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-2001J,FLYBACK,,,35,,,,,,,,,1,3,A1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6174Z-6006H FlyBack,FLYBACK,,,,,,,,,,,,1,3,A1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLYBACK,
Sample Group,6N136,INTEGRADO,,,10,,,,,,,,,1,5,B2A4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,6N60,INTEGRADO,,,6,,,,,,,,,1,8,B2A4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,70N06,INTEGRADO,,,6,,,,,,,,,1,0,B2A11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,74154N,INTEGRADO,,,10,,,,,,,,,1,2,B3B6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGRADO,
Sample Group,74HC32A,TRANSISTOR,,,4,,,,,,,,,1,0,B3B6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
Sample Group,74LS00P,TRANSISTOR,,,5,,,,,,,,,1,5,B3B1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSISTOR,
