codigo,cantidad,producto,descripcion,precio,ubicacion,precioCompra,ultimoProveedor,imagen,stockMinimo,categoria
,0.0,1-439-172,,36.0,A1,18.0,JR,,1.0,FLYBACK
,0.0,1-439-235,,,A1,,JR,,1.0,FLYBACK
,0.0,1-439-235-11,,25.0,A1,12.5,Arroyo,,1.0,FLYBACK
,,1-439-238-00,,36.0,A1,18.0,,,1.0,FLYBACK
,,1-439-423-21,,28.0,A1,14.0,,,1.0,FLYBACK
,,10N60,=5N60,6.0,B2A5,3.0,,,1.0,MOSFET
,,10N80,,6.0,B2A5,3.0,,,1.0,MOSFET
,,11N60,,6.0,B2A7,3.0,,,1.0,MOSFET
,,124 121 821,,,A2B24,,,,1.0,MOSFET
,,12N50,,10.0,B2A7,5.0,,,1.0,MOSFET
,,12N60C,,12.0,B2A7,6.0,,,1.0,MOSFET
,,12N60FI,,12.0,B2A7,6.0,,,1.0,MOSFET
,,13NK80Z,=11N80,14.0,B2A7,7.0,,,1.0,MOSFET
,,15 Foot USB2 - A/B cable,,8.99,shelf 1A,4.495,,,10.0,USB cables
,,154-040,,,A1,,,,1.0,FLYBACK
,,154-168D,,,A1,,,,1.0,FLYBACK
,,154-375D,,28.0,A1,14.0,,,1.0,FLYBACK
,,154-380,,35.0,A1,17.5,,,1.0,FLYBACK
,,17N80C3,,16.0,B2A8,8.0,,,1.0,MOSFET
,,1L0380R,,8.0,B2A1,4.0,,,1.0,INTEGRADO
,,20N60,,12.0,B2A8,6.0,,,1.0,MOSFET
,,20N60S5,,23.0,B2A8,11.5,,,1.0,MOSFET
,,23N150,,14.0,B2A9,7.0,,,1.0,MOSFET
,,24C01A,,2.0,B3A9,1.0,,,1.0,INTEGRADO
,,24C02WP,,2.0,B3A9,1.0,,,1.0,INTEGRADO
,,24C04W6,,2.0,B3A9,1.0,,,1.0,INTEGRADO
,,24C08A,,2.0,B3A9,1.0,,,1.0,INTEGRADO
,,24C16WP,,2.0,B3A10,1.0,,,1.0,INTEGRADO
,,24C32A,,3.0,B3A10,1.5,,,1.0,TRANSISTOR
,,2B0565,,10.0,B2A1,5.0,,,1.0,INTEGRADO
,,2N2222,,1.0,B3D7,0.5,,,1.0,INTEGRADO
,,2N3055,,,A2B30,,,,1.0,INTEGRADO
,,2N3823,,2.0,B3D7,1.0,,,1.0,INTEGRADO
,,2N3904,ECG123AP,1.0,B3D7,0.5,,,1.0,INTEGRADO
,,2N3906,,1.0,B3D7,0.5,,,1.0,INTEGRADO
,,2N4352,,2.0,B3D7,1.0,,,1.0,INTEGRADO
,,2N5064,,1.0,B3D8,0.5,,,1.0,INTEGRADO
,,2N5401,,1.0,B3D8,0.5,,,1.0,INTEGRADO
,,2N5551,,1.0,B3D8,0.5,,,1.0,INTEGRADO
,,2N5668,,1.0,B3D8,0.5,,,1.0,INTEGRADO
,,2N60B,,8.0,B2A1,4.0,,,1.0,INTEGRADO
,,2P4M,,5.0,B2A1,2.5,,,1.0,INTEGRADO
,,2QS03,,16.0,B2A1,8.0,,,1.0,INTEGRADO
,,2S0680,,12.0,B2A1,6.0,,,1.0,INTEGRADO
,,2S0880,,12.0,B2A1,6.0,,,1.0,INTEGRADO
,,2SA1302,,6.0,B1D9,3.0,,,1.0,INTEGRADO
,,2SA1494,ECG59,18.0,B1D9,9.0,,,1.0,INTEGRADO
,,2SA1943,ECG2329,9.0,B1D8,4.5,,,1.0,INTEGRADO
,,2SA350,,1.0,B1D8,0.5,,,1.0,INTEGRADO
,,2SK1081,,15.0,B2A1,7.5,,,1.0,INTEGRADO
,,2SK727,,6.0,B1B12,3.0,,,1.0,INTEGRADO
,,30F125,,13.0,B2A9,6.5,,,1.0,INTEGRADO
,,30F126,,13.0,B2A9,6.5,,,1.0,INTEGRADO
,,30J124,,13.0,B2A9,6.5,,,1.0,INTEGRADO
,,3B0365,,10.0,B2A2,5.0,,,1.0,INTEGRADO
,,3BR1765,,18.0,B2A2,9.0,,,1.0,INTEGRADO
,,3BR4765J,,16.0,B2A2,8.0,,,1.0,INTEGRADO
,,3DD5011,,15.0,B2B1,7.5,,,1.0,INTEGRADO
,,3S0680RF,,15.0,B2A2,7.5,,,1.0,INTEGRADO
,,3S0765RF,,15.0,B2A2,7.5,,,1.0,INTEGRADO
,,40CPQ040,,10.0,B2A9,5.0,,,1.0,IGBT
,,47434N-3119,,25.0,A2B4,12.5,,,1.0,INTEGRADO
,,47N60C3,,16.0,B2A9,8.0,,,1.0,MOSFET
,,4N33,,4.0,B2A2,2.0,,,1.0,MOSFET
,,4N35,,6.0,B2A2,3.0,,,1.0,MOSFET
,,4N60,,6.0,B2A2,3.0,,,1.0,MOSFET
,,50N06,,5.0,B2A11,2.5,,,1.0,MOSFET
,,598-834-00,,55.0,A1,27.5,,,1.0,FLYBACK
,,5D4841,,20.0,B2A3,10.0,,,1.0,INTEGRADO
,,5L038D,,8.0,B2A3,4.0,,,1.0,INTEGRADO
,,5M02659,,11.0,B2A3,5.5,,,1.0,INTEGRADO
,,5M02659R,,8.0,B2A3,4.0,,,1.0,INTEGRADO
,,5M0265R,,12.0,B2A3,6.0,,,1.0,INTEGRADO
,,5M026S9R,,,A2B15,,,,1.0,INTEGRADO
,,5M0365R,,10.0,B2A3,5.0,,,1.0,INTEGRADO
,,5N50,,6.0,B2A3,3.0,,,1.0,MOSFET
,,5NK80,,12.0,B2A4,6.0,,,1.0,MOSFET
,,5Q0765RT,,10.0,B2A4,5.0,,,1.0,INTEGRADO
,,5Q1265RF,,16.0,B2A4,8.0,,,1.0,INTEGRADO
,,5Q1265RT,,15.0,B2A4,7.5,,,1.0,INTEGRADO
,,60N60,,24.0,B2A11,12.0,,,1.0,MOSFET
,,612029-1,,10.0,A2B4,5.0,,,1.0,INTEGRADO
,,6174Z-1003D,,35.0,A1,17.5,,,1.0,FLYBACK
